豪门队,,华南师范大学附属中学,奥班,
豪门队,,广东实验中学,南山班,
豪门队,,执信中学,奥班,
豪门队,,广州市第二中学,火基地班,
豪门队,,广州大学附属中学大学城校区,奥班,
豪门队,,广东广雅中学初中部,岭南班,
豪门队,,广州外国语学校,
豪门队,,华南师范大学附属中学,知识城丘班,
豪门队,,黄华路,煌上煌,
豪门队,,广东实验中学永平校区,南山班,
一线,,金广附中学,奥班,
一线,,黄埔广附中学,素养班,
一线,,黄华路,HSH班,
一线,,越铁中学,重点班,
一线,,亚铁中学,重点班,
一线,,广州市广中路小学,小创班,
一线,,天河执信中学,奥班,
一线,,广州市第二中学,重点班,
一线,,广州市第六中学,鹭江课改班,
一线,,广州市苏元中学,启航班,
一线,,广州市二沙岛育实中学,重点班,
准一线,越秀区,广州市第十六中学,ZDB,
准一线,越秀区,广州市第七中学,ZDB,
准一线,越秀区,广州市八一中学,ZDB,
准一线,越秀区,广州市华侨外国语学校,ZDB,
准一线,越秀区,广州市培正中学,创新班,
准一线,海珠区,广州市第五中学,ZDB,
准一线,海珠区,广州市海珠外国语实验中学,院士班,
准一线,海珠区,广州市第九十七中学,ZDB,
准一线,海珠区,广州市南武中学,ZDB,
准一线,海珠区,广州市绿翠现代实验学校,南雪班,
准一线,海珠区,广州市江南外国语学校,ZDB,
准一线,海珠区,中山大学附属中学,ZDB,
准一线,荔湾区,广东广雅中学初中部,岭南班,
准一线,荔湾区,广州市荔湾区西关广雅实验学校东风西校区,ZDB,
准一线,荔湾区,广州市荔湾区西关广雅实验学校南岸路校区,重点班,
准一线,荔湾区,广东实验中学荔湾学校,南山班,
准一线,荔湾区,广州市第一中学,院士班,
准一线,荔湾区,广州市真光中学,大成班,
准一线,荔湾区,广州市真光中学初中部实验校区,大成班,
准一线,天河区,清华大学附属中学,ZDB,
准一线,天河区,天河外国语学校,2+4,
准一线,天河区,广州市汇景实验学校,ZDB,
准一线,天河区,广州市第一一三中学,ZDB,
准一线,白云区,广州市白云铁一中学,ZDB,
准一线,白云区,广州市培英中学,实验零班,
准一线,黄埔区,北京师范大学广州实验学校,ZDB,
准一线,黄埔区,广州市第八十六中学,海洋班,
准一线,黄埔区,广州市玉岩中学,ZDB,
准一线,黄埔区,广州市铁一中学,ZDB,
准一线,黄埔区,广州市苏元中学,实验班,
准一线,黄埔区,广州市黄埔军校纪念中学,ZDB,
准一线,番禺区,广州市番禺区桥城中学,ZDB,
准一线,花都区,广州市花都区雅居乐中学,ZDB,
准一线,南沙区,广州市南沙区广大附中朝阳学校,小奥班,
准一线,南沙区,广州市南沙区天元学校,ZDB,
准一线,增城区,广州市增城区应元学校,启秀班,
准一线,增城区,广州市增城区增城中学,ZDB,
二线,越秀区,广州市第七实验学校,红星班,
二线,越秀区,广州市越秀省实中学,南山,
二线,越秀区,广州市第十六中学,ZDB,
二线,海珠区,广州市第六中学,万胜围课改班,
二线,海珠区,广州市第六中学,特色班,
二线,荔湾区,广州市西关外国语学校,ZDB,
二线,荔湾区,广州市第一中学,外院士班,
二线,荔湾区,广州市西关外国语学校,金苹果班,
二线,天河区,广州市天河中学,ZDB,
二线,天河区,广州市广中实验中学,ZDB,
二线,天河区,华南理工大学附属中学,ZDB,
二线,白云区,广州市培英中学,初中部ZDB,
二线,白云区,广州市广外实验中学,ZDB,
二线,白云区,广州市桃园中学,ZDB,
二线,白云区,广州市培英实验学校,CZD,
二线,黄埔区,广州市铁英中学,CZD,
二线,黄埔区,广州市纪中中学,重点班,
二线,花都区,广州市秀全外国语学校,ZDB,
二线,花都区,广州市秀全中学,ZDB,
二线,南沙区,广州市南沙区实验学校,重点班,
二线,增城区,广州市增城区应元学校,CZD,
准二线,,广州市培正中学,善正班,
准二线,,广州市东风实验学校,重点班,
准二线,,广州市第四十一中学,重点班,
准二线,,广州市第四中学,重点班,
准二线,,广州市第三中学,重点班,
准二线,,广州市育才中学,重点班,
准二线,,广州市番禺中学附属学校,重点班,
准二线,,广州市南沙第一中学,融合班,
准二线,,广州市南沙华附中学,重点班,
准二线,,中国教育科学研究院荔湾实验学校,重点班,
准二线,,广州市科学城中学,重点班,
准二线,,广州市天峰中学,重点班,
准二线,,广州市奥中中学,重点班,
准二线,,广州市第六中学,逸景课改班,
准二线,,广州市梓元岗中学,重点班,
准二线,,广州市景泰中学,重点班,
